ルマン24時間耐久レース,ルマンニジュウヨジカンタイキュウレース
高卒,ダカソツ
大学中退,ダイガクチュウタイ
結局学習者,ケッキョクガクシュウシャ
イギリス留学,イギリスリュウガク
留学中,リュウガクチュウ
年以上,ネンイジョウ
以上机,イジョウツクエ
毎日公文,マイニチコウブン
経済停滞,ケイザイテイタイ
トランプ現象,トランプゲンショウ
bigthe,ビッグザ
GDPis,ジーディーピーイズ
New Jerseyequal,ニュージャージーイコール
equalto,イコールトゥ
カナリヤたち,カナリヤタチ
謝罪中継,シャザイチュウケイ
テレビ画面,テレビガメン
東京工業大学,トウキョウコウギョウダイガク
工業大学１,コウギョウダイガクイチ
１３,イチサン
３０,サンゼロ
０年,ゼロネン
年史,ネンシ
大学昇格,ダイガクショウカク
昇格運動,ショウカクウンドウ
一人,イチニン
全員退学,ゼンインタイガク
読み物ですよ,ヨミモノデスヨ
ですよこれ,デスヨコレ
onFreeBSD,オンフリービーエスディー
and aPentium,アンドエーペンティアム
andLife,アンドライフ
資料映像,シリョウエイゾウ
参考程度,サンコウテイド
第9番,ダイクバン
番惑星,バンワクセイ
軌道半径,キドウハンケイ
第9番,ダイクバン
番惑星,バンワクセイ
Theorbital,ザオービタル
orbitalfigure,オービタルフィギュア
thplanet,ティーエッチプラネット
byis,ビーワイイズ
3Dview,スリーディービュー
the orbit,ジオーブイット
第9番,ダイクバン
番惑星,バンワクセイ
海王星以遠,カイオウセイイエン
以遠天体,イエンテンタイ
forwardto,フォーワードトゥ
Junein,ジュンイン
insuper,インスーパー
tokeep,トゥキープ
Mini,エムアイネイティブインストゥルメンツ
niApplication,ネイティブインストゥルメンツアプリケーション
tounderstanding,トゥアンダースタンディング
カルフォルニア工科,カルフォルニアコウカ
工科大,コウカダイ
第9惑星,ダイクワクセイ
種々観測,シュジュカンソク
観測網,カンソクモウ
thplanet,ティーエッチプラネット
planetdiscovered,プラネットディスカバード
Nineand,ナインアンド
brightis,ブライトイズ
isit,イズイット
enoughtime,イナフタイム
timeto,タイムトゥ
topost,トゥポスト
itis,イットイズ
superfaint,スーパーフェイント
discovereda,ディスカバードアール
planetat,プラネットアット
atthe,アットザ
theedge,ザエッジ
forResearch,フォーリサーチ
inyear,インイヤー
testby,テストビーワイ
千人,センニン
データ分析,データブンセキ
自社インフラ,ジシャインフラ
onAI,オンアイ
toimprove,トゥインプルーブ
improvethe,インプルーブザ
theprogram,ザプログラム
F2Fpaper,エフツーエフペーパー
paperselect,ペーパーセレクト
selection,セレクトアイオン
政治家,セイジカ
問題視,モンダイシ
SMAP独立,スマップドクリツ
独立騒動,ドクリツソウドウ
Gb/s,ギガビーエス
Gb/s,ギガビーエス
b/sx4,ビーエスエックスフォー
Thebest,ザベスト
accessory3D,アクセサリスリーディー
foodto,ゴハントゥ
デススター説,デススターセツ
星KIC,ホシキヌガサキャンパス
減光,ゲンコウ
彗星通過,スイセイツウカ
通過説,ツウカセツ
証明困難,ショウメイコンナン
andTorch,アンドトーチ
Torchfor,トーチフォー
科学技術立国,カガクギジュツリッコク
大学淘汰,ダイガクトウタ
研究職,ケンキュウショク
職激減,ショクゲキゲン
データ分析,データブンセキ
エビデンスリッチ,エビデンスリッチ
究極的,キュウキョクテキ
データ分析,データブンセキ
データ基盤,データキバン
基盤技術,キバンギジュツ
計算環境,ケイサンカンキョウ
データ分析,データブンセキ
労働許可,ロウドウキョカ
許可取得,キョカシュトク
その後小国,ソノゴショウコク
世界最大,セカイサイダイ
意向投票,イコウトウヒョウ
投票調査,トウヒョウチョウサ
学長選挙,ガクチョウセンキョ
by馳浩,ビーワイハセヒロシ
馳浩文科相,ハセヒロシモンカショウ
科学新聞,カガクシンブン
今朝米国,ケサベイコク
数カ所,スウカショ
成田経由,ナリタケイユ
大変そう,タイヘンソウ
成田エキスプレス,ナリタエキスプレス
International,インテルナショナル
Thepower,ザパワー
theWorld,ザワールド
HPCvia,エイチピーシービア
意識高い笑点,イシキタカイショウテン
東工大感,トウコウダイカン
英BBC,エイビービーシー
withJapanese,ウィズジャパニーズ
Japanesestyle,ジャパニーズスタイル
1980年頃,センキュウヒャクハチジュウネンゴロ
頃ボウイ,ゴロボウイ
一時期京都,イチジキキョウト
東の山,ヒガシノヤマ
の山辺り,ノヤマアタリ
クラブにも,クラブニモ
にも顔,ニモガオ
データ公開,データコウカイ
センター試験大変,センターシケンタイヘン
一切関係,イッサイカンケイ
デヴィッド・ボウイさん,デヴィッドボウイサン
電車内,デンシャナイ
特急車両,トッキュウシャリョウ
説明用,セツメイヨウ
億円,オクエン
個人資産,コジンシサン
魅力的,ミリョクテキ
予算増,ヨサンゾウ
歳代,サイダイ
研究リーダー,ケンキュウリーダー
研究分野,ケンキュウブンヤ
デヴィッド・ボウイさん,デヴィッドボウイサン
1世代前,ヒトセダイマエ
特急車両,トッキュウシャリョウ
大阪方,オオサカカタ
両目,リョウメ
当該車両,トウガイシャリョウ
オープンソース機械学習,オープンソースキカイガクシュウ
機械学習システム,キカイガクシュウシステム
当該調査,トウガイチョウサ
研究費,ケンキュウヒ
費投資,ヒトウシ
GDP比,ジーディーピーヒ
基礎研究費,キソケンキュウヒ
費増,ヒゾウ
増やせ,ゾウヤセ
科学技術立国,カガクギジュツリッコク
経済的メリット,ケイザイテキメリット
GBDDR4,ギガバイトディディアールフォー
追加情報,ツイカジョウホウ
論文数,ロンブンスウ
研究費,ケンキュウヒ
政府関係者,セイフカンケイシャ
政府関係者,セイフカンケイシャ
TechCrunchJapan,テッククランチジャパン
国研,クニケン
常勤研究,ジョウキンケンキュウ
研究者,ケンキュウシャ
非常勤研究,ヒジョウキンケンキュウ
研究者,ケンキュウシャ
ITラボ,アイティーラボ
佐藤さん,サトウサン
応用数学系,オウヨウスウガクケイ
研究者,ケンキュウシャ
深層学習,シンソウガクシュウ
我々大学,ワレワレダイガク
佐藤さん,サトウサン
米国教育,ベイコクキョウイク
研究者,ケンキュウシャ
者達,シャタチ
生産工程,セイサンコウテイ
工程現場,コウテイゲンバ
現場至上主義,ゲンバシジョウシュギ
ツッコミ所,ツッコミショ
所満載,ショマンサイ
成功モデル,セイコウモデル
デンソーIT,デンソーアイティー
ITラボ,アイティーラボ
深層学習,シンソウガクシュウ
高速化,コウソクカ
トップグループ,トップグループ
バッチ学習,バッチガクシュウ
ScaleMagnetic,スケールマグネティック
東工大生,トウコウダイセイ
全日本学生,ゼンニホンガクセイ
学生競技ダンス,ガクセイキョウギダンス
競技ダンス選手権,キョウギダンスセンシュケン
選手権優勝,センシュケンユウショウ
2015年12月13日,ニセンジュウゴネンジュウニガツジュウサンニチ
周年記念,シュウネンキネン
記念アリーナ,キネンアリーナ
回全日本,カイゼンニホン
全日本学生,ゼンニホンガクセイ
学生競技ダンス,ガクセイキョウギダンス
競技ダンス選手権,キョウギダンスセンシュケン
選手権大会,センシュケンタイカイ
最終的,サイシュウテキ
何ヶ月,ナンカゲツ
共同研究,キョウドウケンキュウ
SGImonster,エスジーアイモンスター
直接関係,チョクセツカンケイ
モータースポーツファン,モータースポーツファン
歴史的,レキシテキ
重要さ,ジュウヨウサ
Thelegends,ザレジェンズ
carand,カーアンド
andDavid Bowie,アンドデビッドボウイ
inthe,インザ
1980年3月,センキュウヒャクハチジュウネンサンガツ
3月頃,サンガツゴロ
京大生,キョウダイセイ
wasin,ワイドエリアサーチイン
albumto,アルバムトゥ
thestory,ザストーリィ
storyand,ストーリィアンド
andthe,アンドザ
saidthat,サイードザット
thata,ザットアール
aKyoto,アールキョウト
ata,エーティーアール
京大生,キョウダイセイ
京大生,キョウダイセイ
アイドル的,アイドルテキ
的存在,テキソンザイ
音楽ビジネス,オンガクビジネス
京大生,キョウダイセイ
一人,イチニン
デヴィッド・ボウイさん,デヴィッドボウイサン
wastaken,ワイドエリアサーチテイクン
